model,model_label,method,context,tier,expected_jobs,succeeded_jobs,running_jobs,stale_jobs,failed_jobs,pending_jobs,expected_trajectories,successful_trajectories,coverage,successful_repetitions,f1,f1_std,f1_zero_imputed,f1_best_case,arm_final
gpt-5-mini,GPT-5 mini,rlm,full,3,80,80,0,0,0,0,175,175,1.0,5,0.5370979741355433,0.03340276804517557,0.5370979741355433,0.5370979741355434,True
gpt-5-mini,GPT-5 mini,llm,100,4,45,45,0,0,0,0,175,175,1.0,5,0.29809523809523814,0.028558727335605813,0.29809523809523814,0.2980952380952382,True
gpt-5-mini,GPT-5 mini,llm,500,4,45,45,0,0,0,0,175,175,1.0,5,0.032380952380952385,0.0202926435739643,0.032380952380952385,0.03238095238095233,True
gpt-5-mini,GPT-5 mini,codeact,100,4,45,45,0,0,0,0,175,175,1.0,5,0.5749977324263039,0.03797806079762713,0.5749977324263039,0.5749977324263039,True
gpt-5-mini,GPT-5 mini,codeact,500,4,45,45,0,0,0,0,175,175,1.0,5,0.5479501133786848,0.08571701107858136,0.5479501133786848,0.5479501133786847,True
gpt-5-mini,GPT-5 mini,rlm,100,4,45,45,0,0,0,0,175,175,1.0,5,0.5585487528344674,0.02984195906543709,0.5585487528344674,0.5585487528344675,True
gpt-5-mini,GPT-5 mini,rlm,500,4,45,45,0,0,0,0,175,175,1.0,5,0.545124716553288,0.05525067902492495,0.545124716553288,0.5451247165532881,True
gpt-5-mini,GPT-5 mini,rlm,full,4,45,45,0,0,0,0,175,175,1.0,5,0.2879947779067172,0.031989415424753975,0.2879947779067172,0.2879947779067171,True
claude-haiku-4.5,Claude Haiku 4.5,llm,100,1,5,5,0,0,0,0,50,50,1.0,5,0.8966666666666667,0.0,0.8966666666666667,0.8966666666666668,True
claude-haiku-4.5,Claude Haiku 4.5,llm,500,1,5,5,0,0,0,0,50,50,1.0,5,0.669888888888889,0.040353989201124194,0.669888888888889,0.6698888888888888,True
claude-haiku-4.5,Claude Haiku 4.5,codeact,100,1,5,5,0,0,0,0,50,50,1.0,5,0.9513333333333333,0.04074855143982964,0.9513333333333333,0.9513333333333333,True
claude-haiku-4.5,Claude Haiku 4.5,codeact,500,1,5,5,0,0,0,0,50,50,1.0,5,0.9493333333333334,0.02831568077546038,0.9493333333333334,0.9493333333333334,True
claude-haiku-4.5,Claude Haiku 4.5,rlm,100,1,5,5,0,0,0,0,50,50,1.0,5,0.64,0.13564659966250536,0.64,0.64,True
claude-haiku-4.5,Claude Haiku 4.5,rlm,500,1,5,5,0,0,0,0,50,50,1.0,5,0.6733333333333333,0.18306040290327974,0.6733333333333333,0.6733333333333331,True
claude-haiku-4.5,Claude Haiku 4.5,rlm,full,1,5,5,0,0,0,0,50,50,1.0,5,0.66,0.13564659966250536,0.66,0.66,True
claude-haiku-4.5,Claude Haiku 4.5,llm,100,2,20,20,0,0,0,0,100,100,1.0,5,0.07674091980622291,0.00912890355267363,0.07674091980622291,0.07674091980622294,True
claude-haiku-4.5,Claude Haiku 4.5,llm,500,2,20,20,0,0,0,0,100,100,1.0,5,0.03041845423329311,0.010628859994347687,0.03041845423329311,0.030418454233293063,True
claude-haiku-4.5,Claude Haiku 4.5,codeact,100,2,20,20,0,0,0,0,100,100,1.0,5,0.15090910646779765,0.01858566801740967,0.15090910646779765,0.15090910646779762,True
claude-haiku-4.5,Claude Haiku 4.5,codeact,500,2,20,20,0,0,0,0,100,100,1.0,5,0.6188824588059257,0.06408377931895806,0.6188824588059257,0.618882458805926,True
claude-haiku-4.5,Claude Haiku 4.5,rlm,100,2,20,20,0,0,0,0,100,100,1.0,5,0.67,0.07483314773547885,0.67,0.67,True
claude-haiku-4.5,Claude Haiku 4.5,rlm,500,2,20,20,0,0,0,0,100,100,1.0,5,0.6943798449612405,0.06477740356404578,0.6943798449612405,0.6943798449612405,True
claude-haiku-4.5,Claude Haiku 4.5,rlm,full,2,20,20,0,0,0,0,100,100,1.0,5,0.6896101146448576,0.08088661684864541,0.6896101146448576,0.6896101146448576,True
claude-haiku-4.5,Claude Haiku 4.5,llm,100,3,80,80,0,0,0,0,175,175,1.0,5,0.17183467349065734,0.019517796076809108,0.17183467349065734,0.1718346734906574,True
claude-haiku-4.5,Claude Haiku 4.5,llm,500,3,80,80,0,0,0,0,175,175,1.0,5,0.2370336113653349,0.011440084571306864,0.2370336113653349,0.23703361136533496,True
claude-haiku-4.5,Claude Haiku 4.5,codeact,100,3,80,80,0,0,0,0,175,175,1.0,5,0.5577917538375075,0.03924732918353261,0.5577917538375075,0.5577917538375076,True
claude-haiku-4.5,Claude Haiku 4.5,codeact,500,3,80,80,0,0,0,0,175,175,1.0,5,0.6033719173792366,0.05239360150631971,0.6033719173792366,0.6033719173792367,True
claude-haiku-4.5,Claude Haiku 4.5,rlm,100,3,80,80,0,0,0,0,175,175,1.0,5,0.41764835845653236,0.03887037561157154,0.41764835845653236,0.41764835845653236,True
